ufn,fish_species,kingdom,phylum,subphylum,class,subclass,order,suborder,infraorder,family,genus,species,life_stage,count,length_max,length_min,length_avg,digestion_state,prey_weight_raw,prey_weight_corr,size_class
U3007,Chum,Animalia,Arthropoda,Crustacea,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,,,,,Molt,1,6,6,6,1,1,1.54,5 to 10
U3007,Chum,Animalia,Chordata,Verbrata,Actinopterygii,,Perciformes,Trachinoidei,,Ammodytidae,Ammodytes,hexapterus,Juvenile,1,23.3,23.3,23.3,2,157.1,241.934,>10
U3007,Chum,Animalia,Chaetognatha,,Sagittoidea,,Phragmophora,,,Eukrohniidae,Eukrohnia,hamata,,4,23,10.3,16.65,1,6.1,9.394,>10
U3007,Chum,Animalia,Chaetognatha,,Sagittoidea,,,,,,,,,15,6.5,5,5.75,2,14.6,22.484,5 to 10
U3007,Chum,Animalia,Chaetognatha,,Sagittoidea,,Phragmophora,,,Eukrohniidae,Eukrohnia,hamata,,3,9.4,8.5,8.95,1,3.6,5.544,5 to 10
U3007,Chum,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Senticaudata,Talitrida,Hyalidae,Hyale,,,4,2,1.8,1.9,1,2.2,3.388,1 to 2
U3007,Chum,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Hyperiidea,Physocephalata,Hyperiidae,,,Juvenile,2,0.8,0.8,0.8,1,0.1,0.154,<1
U3007,Chum,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Decapoda,Pleocyemata,Axiidea,Callianassidae,Neotrypaea,californiensis,Zoea_I,1,2.3,2.3,2.3,1,0.4,0.616,2 to 5
U3007,Chum,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostra,Decapoda,Pleocyemata,Brachyura,Grapsidae,Hemigrapsus,nudus,Zoea,1,1,1,1,1,0.1,0.154,1 to 2
U3007,Chum,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,,,Calanidae,Calanus,marshallae,,7,4.1,3.2,3.65,1,9.6,14.784,2 to 5
U3007,Chum,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,,,Calanidae,Calanus,pacificus,,1,2.7,2.7,2.7,1,0.2,0.308,2 to 5
U3007,Chum,Animalia,Arthropoda,Crustacea,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,,,,,Nauplii,81,0.9,0.5,0.7,1,4.5,6.93,<1
U3007,Chum,Animalia,Arthropoda,Crustacea,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,,,,,Molt,1,3.3,3.3,3.3,2,1,1.54,2 to 5
U3007,Chum,Animalia,Arthropoda,Crustacea,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,,,,,,1,2.5,2.5,2.5,2,0.1,0.154,2 to 5
U3007,Chum,Animalia,Arthropoda,Crustacea,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,,Balanidae,Balanus,crenatus,Cyprid,12,0.9,0.8,0.85,1,0.9,1.386,<1
U3007,Chum,Animalia,Arthropoda,Crustacea,Hexanauplia,Thecostraca,Sessilia,Balanomorpha,,Balanidae,Amphibalanus,improvisus,Cyprid,4,0.5,0.5,0.5,1,0.1,0.154,<1
U3007,Chum,Chromista,Ochrophyta,Khakista,Bacillariophyceae,Coscinodiscophycidae,,,,,,,,58,0.4,0.2,0.3,1,0.4,0.616,<1
U3007,Chum,Animalia,Arthropoda,Crustacea,Branchiopoda,Diplostraca,Onychopoda,,,Podonidae,Pleopis,polyphemoides,,11,0.9,0.5,0.7,1,0.4,0.616,<1
U3007,Chum,Animalia,Arthropoda,Crustacea,Branchiopoda,Diplostraca,Onychopoda,,,Podonidae,Pseudevadne,tergestina,,175,1,0.5,0.75,1,7.4,11.396,<1
U3007,Chum,Animalia,Arthropoda,Crustacea,Branchiopoda,Diplostraca,Onychopoda,,,Podonidae,,,,336,1,0.5,0.75,2,11.2,17.248,<1
U3007,Chum,Animalia,Arthropoda,Crustacea,Branchiopoda,Diplostraca,Onychopoda,,,Podonidae,Evadne,normanni,,3,0.7,0.7,0.7,1,0.1,0.154,<1
U3007,Chum,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,,,Euphausiidae,,,Calyptopis,6,1.7,1.3,1.5,1,0.3,0.462,1 to 2
U3007,Chum,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Decapoda,Pleocyemata,Brachyura,,,,Zoea,1,0.9,0.9,0.9,2,0.1,0.154,<1
U3007,Chum,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,,,Euphausiidae,,,Egg,12,0.4,0.3,0.35,1,0.2,0.308,<1
U3007,Chum,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,,,Pseudocalananidae,Pseudocalanus,,,3,1.6,1.3,1.45,1,0.2,0.308,1 to 2
U3007,Chum,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Hydrachnidia,,,,,,1,1,1,1,2,0.1,0.154,<1
U3007,Chum,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Senticaudata,,,,,,1,2.8,2.8,2.8,2,1.3,2.002,2 to 5
U3007,Chum,Animalia,Arthropoda,Hexapoda,Insecta,,Diptera,,,,,,,1,2,2,2,3,0.7,1.078,2 to 5
U3007,Chum,,,,,,,,,,Microplastic_chunk,,Object,1,0.5,0.5,0.5,0,0.1,0.154,<1
U3007,Chum,Animalia,Bryozoa,,,,,,,,,,Larvae,2,0.5,0.5,0.5,1,0.1,0.154,<1
U3007,Chum,Animalia,Mollusca,,Bivalvia,Heterodonta,Veneroida,,,Kellidae,Kellia,suborbicularis,Veliger,2,0.4,0.4,0.4,1,0.1,0.154,<1
U3007,Chum,Animalia,Mollusca,,Gastropoda,Heterobranchia,Pteropoda,,,,,,Veliger,3,0.6,0.3,0.45,1,0.1,0.154,<1
U3007,Chum,Animalia,Annelida,,Polychaeta,Sedentaria,Spionida,Spioniformia,,Spionidae,,,Nectochaete,3,1.7,1,1.35,2,0.1,0.154,1 to 2
U3007,Chum,Animalia,Chordata,Tunicata,Appendicularia,,Copelata,,,Oikopleuridae,Oikopleura,,,713,1,0.5,0.75,2,98.6,151.844,<1
U3007,Chum,,,,,,,,,,Digested_food,,,1,1.4,0.7,1.05,4,14.5,22.33,1 to 2
U3838,Pink,Animalia,Chaetognatha,,Sagittoidea,,Phragmophora,,,Eukrohniidae,Eukrohnia,hamata,,2,20,19.6,19.8,2,4.8,7.392,>10
U3838,Pink,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Hyperiidea,Physocephalata,Hyperiidae,Themisto,pacifica,,5,4.7,2.3,3.5,1,9.5,14.63,2 to 5
U3838,Pink,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Hyperiidea,Physocephalata,Hyperiidae,Themisto,pacifica,,4,2,1.9,1.95,1,2.3,3.542,1 to 2
U3838,Pink,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Decapoda,Pleocyemata,Axiidea,Callianassidae,Neotrypaea,californiensis,Zoea_III,1,4.7,4.7,4.7,1,0.3,0.462,2 to 5
U3838,Pink,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Decapoda,Pleocyemata,Caridea,Pandalidae,Pandalus,,Zoea,1,7.2,7.2,7.2,2,1.2,1.848,5 to 10
U3838,Pink,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Isopoda,,,,,,Juvenile,1,1.3,1.3,1.3,1,0.1,0.154,1 to 2
U3838,Pink,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,,,Euphausiidae,,,Calyptopis,1,2,2,2,1,0.1,0.154,1 to 2
U3838,Pink,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,,,Euphausiidae,Euphausia,pacifica,,1,13,13,13,1,8.5,13.09,>10
U3838,Pink,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,,,Euphausiidae,Thysanoessa,spinifera,,1,10.2,10.2,10.2,1,4.8,7.392,>10
U3838,Pink,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,,,Euphausiidae,Thysanoessa,spinifera,,1,10.9,10.9,10.9,2,6.9,10.626,>10
U3838,Pink,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,,,Euphausiidae,Euphausia,pacifica,,2,12.5,10,11.25,2,11,16.94,>10
U3838,Pink,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,,,Euphausiidae,,,,1,16,16,16,3,14.2,21.868,>10
U3838,Pink,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,,,Euphausiidae,,,,3,10,8.2,9.1,3,13.1,20.174,5 to 10
U3838,Pink,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,,,Euphausiidae,,,Furcilia,9,6,5,5.5,1,5.7,8.778,5 to 10
U3838,Pink,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,,,Euphausiidae,,,Furcilia,28,4.9,3,3.95,1,12.3,18.942,2 to 5
U3838,Pink,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,,,Euphausiidae,,,Furcilia,22,5,2,3.5,2,5.8,8.932,2 to 5
U3838,Pink,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,,,Euphausiidae,,,Furcilia,10,2.6,2.2,2.4,3,1.8,2.772,2 to 5
U3838,Pink,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Harpacticoida,,,Harpacticidae,Harpacticus,,,1,1.3,1.3,1.3,1,0.1,0.154,1 to 2
U3838,Pink,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,,,Aetideidae,Aetideus,divergens,,3,1.9,1.8,1.85,1,0.8,1.232,1 to 2
U3838,Pink,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,,,Aetideidae,Aetideus,divergens,,1,1.6,1.6,1.6,2,0.1,0.154,1 to 2
U3838,Pink,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,,,Centropagidae,Centropages,abdominalis,,3,2.1,1.5,1.8,1,0.4,0.616,1 to 2
U3838,Pink,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,,,Pseudocalananidae,Pseudocalanus,,,17,2,1.5,1.75,1,1.4,2.156,1 to 2
U3838,Pink,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,,,,,,,11,2,1,1.5,2,0.6,0.924,1 to 2
U3838,Pink,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,,,Pontellidae,Epilabidocera,longipedata,,28,3.8,3.3,3.55,1,32.2,49.588,2 to 5
U3838,Pink,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,,,Pontellidae,Epilabidocera,longipedata,,4,3.4,3.3,3.35,2,2.1,3.234,2 to 5
U3838,Pink,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,,,Eucalanidae,Eucalanus,,,1,4.5,4.5,4.5,1,0.9,1.386,2 to 5
U3838,Pink,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,,,Calanidae,Calanus,marshallae,,220,4.2,3.2,3.7,1,281.4,433.356,2 to 5
U3838,Pink,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,,,Calanidae,Calanus,marshallae,,71,4.2,3.2,3.7,2,57.5,88.55,2 to 5
U3838,Pink,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,,,,,,,56,3.1,2.1,2.6,3,14,21.56,2 to 5
U3838,Pink,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,,,,,,,18,1.9,1.3,1.6,4,6.9,10.626,2 to 5
U3838,Pink,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,,,Calanidae,Calanus,pacificus,,39,3,2.5,2.75,1,19.5,30.03,2 to 5
U3838,Pink,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,,,Calanidae,Calanus,pacificus,,4,3,2.9,2.95,2,1.7,2.618,2 to 5
U3838,Pink,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,,,Calanidae,Calanus,,,47,3.1,2.8,2.95,2,23.1,35.574,2 to 5
U3838,Pink,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,,,Metridinidae,Metridia,curticaudata,,2,3.5,3.5,3.5,1,1.1,1.694,2 to 5
U3838,Pink,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Calanoida,,,,,,,123,2.8,1.9,2.35,2,37.7,58.058,2 to 5
U3838,Pink,,,,,,,,,,Digested_food,,,1,0.7,0.4,0.55,4,10.7,16.478,<1