old_category,new_category,,n,
Acartia,Acartia,,30,
Acartia_clausi,Acartia_clausi,,7,
Acartia_longiremis,Acartia_longiremis,,42,
Actinopterygii_Egg,Actinopterygii_Egg,,6,
Actinopterygii_Larvae,Actinopterygii,,6,
Aetideus_divergens,Aetideus_divergens,,37,
Alienacanthomysis_macropsis,Eumalacostraca,,2,
Americorophium_salmonis,Corophiida,,1,
Ammodytes_hexapterus_Juvenile,Actinopterygii,,2,
Amphibalanus_improvisus_Cyprid,Amphibalanus_improvisus_Cyprid,,31,
Amphipoda,Eumalacostraca,,1,
Anomura_Zoea,Anomura_Zoea,,2,
Aoroides_columbiae,Corophiida,,1,
Araneae,Arthropoda,,2,possibly change back later
Asteroidea_Brachiolaria,Echinodermata_Larvae,,32,
Balanomorpha,Balanomorpha,,5,
Balanomorpha_Cyprid,Balanomorpha_Cyprid,,47,
Balanomorpha_Juvenile,Balanomorpha_Juvenile,,12,
Balanomorpha_Molt,Balanomorpha_Molt,,18,
Balanomorpha_Nauplii,Balanomorpha_Nauplii,,78,
Balanus_crenatus_Cyprid,Balanus_crenatus_Cyprid,,55,
Balanus_glandula_Cyprid,Balanus_glandula_Cyprid,,52,
Brachyura_Juvenile,Brachyura_Megalopa,,1,
Brachyura_Megalopa,Brachyura_Megalopa,,12,
Brachyura_Zoea,Brachyura_Zoea,,51,
Bryozoa_Larvae,Bryozoa_Larvae,,19,
Calanidae_Nauplii,Calanidae_Nauplii,,4,
Calanoida,Calanoida,,103,
Calanoida_Copepodite,Calanoida_Copepodite,,11,
Calanoida_Egg,Calanoida,,1,
Calanus,Calanus,,31,
Calanus_marshallae,Calanus_marshallae,,108,
Calanus_pacificus,Calanus_pacificus,,86,
Cancer_antennarius_Megalopa,Cancer_Larvae,,1,
Cancer_Megalopa,Cancer_Larvae,,1,
Cancer_oregonensis_Zoea_II,Cancer_Larvae,,2,possibly change back later
Cancer_oregonensis_Zoea_III,Cancer_Larvae,,1,possibly change back later
Cancer_oregonensis_Zoea_IV,Cancer_Larvae,,1,possibly change back later
Cancer_productus_Zoea_II,Cancer_Larvae,,2,
Cancer_productus_Zoea_IV,Cancer_Larvae,,1,
Cancer_Zoea,Cancer_Larvae,,1,
Candacia_columbiae,Calanoida,,1,
Caprella,Corophiida,,1,
Caprella_californica,Corophiida,,1,
Caridea_Zoea,Caridea_Zoea,,6,
Centropages_abdominalis,Centropages_abdominalis,,45,
Chironomidae_Larvae,Arthropoda,,2,possibly change back later
Cnidaria,Gelatinous,,58,possibly change back later
Coleoptera,Arthropoda,,1,possibly change back later
Copepoda,Copepoda,,1,
Coscinodiscophycidae,Coscinodiscophycidae,,50,
Crustacea,Crustacea,,12,
Ctenophora,Gelatinous,,12,possibly change back later
Culicomorpha,Culicomorpha,,14,
Cumacea,Cumacea,,3,
Cyclopoida,Cyclopoida,,4,
Detritus,Detritus,,14,
Digested_food,Digested_food,,21,
Digested_food_worms,Digested_food,,6,
Diptera,Diptera,,20,
Diptera_Larvae,Arthropoda,,1,possibly change back later
Ditrichocorycaeus_anglicus,Ditrichocorycaeus_anglicus,,47,
Ditrichocorycaeus_anglicus_Copepodite,Ditrichocorycaeus_anglicus_Copepodite,,4,
Echinodermata_Larvae,Echinodermata_Larvae,,1,
Empty,Empty,,7,
Epilabidocera_longipedata,Epilabidocera_longipedata,,34,
Epilabidocera_longipedata_Copepodite_CIII,Calanoida_Copepodite,,1,
Epilabidocera_longipedata_Copepodite_CV,Calanoida_Copepodite,,1,
Eucalanus,Eucalanus,,15,
Eucalanus_bungii,Eucalanus_bungii,,13,
Eukrohnia_hamata,Eukrohnia_hamata,,20,
Eumalacostraca_Larvae,Eumalacostraca_Larvae,,4,
Euphausia_pacifica,Euphausia_pacifica,,3,
Euphausiidae,Euphausiidae,,6,
Euphausiidae_Calyptopis,Euphausiidae_Calyptopis,,49,
Euphausiidae_Egg,Euphausiidae_Egg,,39,
Euphausiidae_Furcilia,Euphausiidae_Furcilia,,61,
Euphausiidae_Nauplii,Euphausiidae_Nauplii,,26,
Eurytemora_affinis,Calanoida,,1,
Evadne,Evadne,,9,
Evadne_normanni,Evadne_normanni,,31,
Pseudevadne_tergestina,Pseudevadne_tergestina,,56,
Fabia_subquadrata_Zoea,Pinnotheridae_Zoea,,1,
Formicidae,Arthropoda,,1,possibly change back later
Glass_Object,Objects,,1,
Harpacticoida,Harpacticoida,,2,
Harpacticus,Harpacticus,,25,
Hemigrapsus_nudus_Zoea,Hemigrapsus_Larvae,,1,
Hemigrapsus_nudus_Zoea_II,Hemigrapsus_Larvae,,1,
Hemigrapsus_nudus_Zoea_III,Hemigrapsus_Larvae,,1,
Hemigrapsus_oregonensis_Megalopa,Hemigrapsus_Larvae,,1,
Hyale,Senticaudata,,2,
Hydrachnidia,Arthropoda,,1,possibly change back later
Hyperia,Hyperiidea,,3,possibly change back later
Hyperiidae,Hyperiidea,,37,
Hyperiidae_Juvenile,Hyperiidae_Juvenile,,20,
Hyperoche,Hyperoche,,3,
Hyperoche_mediterranea,Hyperoche,,2,
Hyperoche_medusarum,Hyperoche_medusarum,,4,
Insecta,Arthropoda,,23,possibly change back later
Insecta_Larvae,Arthropoda,,1,possibly change back later
Isopoda_Juvenile,Isopoda,,6,
Isopoda_Larvae,Isopoda,,2,
Kellia_suborbicularis_Veliger,Kellia_suborbicularis_Veliger,,37,
Limacina_helicina,Pteropoda,,7,
Lophopanopeus_bellus_Megalopa,Lophopanopeus_bellus_Larvae,,1,
Lophopanopeus_bellus_Zoea,Lophopanopeus_bellus_Larvae,,2,
Lophopanopeus_bellus_Zoea_I,Lophopanopeus_bellus_Larvae,,5,
Lophopanopeus_bellus_Zoea_II,Lophopanopeus_bellus_Larvae,,1,
Lophopanopeus_bellus_Zoea_III,Lophopanopeus_bellus_Larvae,,1,
Lophopanopeus_bellus_Zoea_IV,Lophopanopeus_bellus_Larvae,,3,
Macroplastic_Object,Objects,,1,
Mesocalanus_tenuicornis,Mesocalanus_tenuicornis,,21,
Metridia,Metridia,,10,
Metriocnemus_Larvae,Arthropoda,,1,possibly change back later
Microcalanus_pygmaeus_pusillus,Pseudocalanidae,,2,
Microplastic_chunk_Object,Objects,,9,
Microplastic_fiber_Object,Objects,,5,
Microplastic_film_Object,Objects,,1,
Microplastic_Object,Objects,,1,
Microsetella_rosea,Microsetella_rosea,,3,
Microstomus_pacificus_Egg,Pleuronectidae_Egg,,3,possibly change back later
Monstrilla_helgolandica,Copepoda,,1,
Monstrilla_spinosa,Copepoda,,1,
Nannastacidae,Cumacea,,6,possibly change back later
Nematoda,Parasites,,2,
Neocalanus_plumchrus,Neocalanus_plumchrus,,3,
Neotrypaea_californiensis_Zoea_I,Neotrypaea_californiensis_Zoea,,14,
Neotrypaea_californiensis_Zoea_II,Neotrypaea_californiensis_Zoea,,1,
Oikopleura,Oikopleura,,106,
Oncaea,Cyclopoida,,1,
Oncaea_englishi,Cyclopoida,,1,
Oregonia_gracilis_Megalopa,Oregonia_gracilis_Larvae,,1,
Oregonia_gracilis_Zoea_I,Oregonia_gracilis_Larvae,,2,
Oregonia_gracilis_Zoea_II,Oregonia_gracilis_Larvae,,1,
Ostracoda,Ostracoda,,3,
Paguridae_Zoea_I,Anomura_Zoea,,1,
Pagurus_granosimanus_Zoea_II,Anomura_Zoea,,1,
Pandalidae_Zoea,Pandalidae_Zoea,,3,
Paracalanus_parvus,Paracalanus_parvus,,32,
Paraeuchaeta_elongata,Calanoida,,1,
Pellet_Detritus,Detritus,,1,
Phaeophyceae,Phaeophyceae,,9,
Pinnotheres_taylori_Zoea_I,Pinnotheridae_Zoea,,2,
Pinnotheridae_Zoea,Pinnotheridae_Zoea,,1,
Pleocyemata_Larvae,Pleocyemata_Larvae,,8,
Pleocyemata_Zoea,Pleocyemata_Larvae,,4,possibly change back later
Pleuronichthys_coenosus_Egg,Pleuronectidae_Egg,,25,possibly change back later
Podon,Podon,,12,
Podon_leuckartii,Podon_leuckartii,,15,
Podon_polyphemoides,Podon_polyphemoides,,35,
Podonidae,Podonidae,,61,
Polychaeta_Nectochaete,Polychaeta_Nectochaete,,8,
Porcellanidae_Zoea,Porcellanidae_Zoea,,2,
Porcellanidae_Zoea_II,Porcellanidae_Zoea,,5,
Primno_macropa,Hyperiidea,,2,
Pseudocalanus,Pseudocalanidae,,63,
Pteropoda,Pteropoda,,2,
Pteropoda_Egg,Pteropoda_Egg,,16,
Pteropoda_Veliger,Pteropoda_Veliger,,37,
Pugettia_Megalopa,Pugettia_Megalopa,,1,
Pugettia_producta_Megalopa,Pugettia_Megalopa,,1,
Pugettia_richii_Megalopa,Pugettia_Megalopa,,1,
Sagittoidea,Sagittoidea,,34,
Sarsamphiascus,Harpacticoida,,2,
Semibalanus_balanoides_Cyprid,Semibalanus_balanoides_Cyprid,,4,
Senticaudata,Senticaudata,,7,
Senticaudata_Juvenile,Senticaudata,,1,
Siphonophorae,Gelatinous,,3,possibly change back later
Spionidae_Nectochaete,Spionidae_Nectochaete,,20,
Thalestridae,Harpacticoida,,1,
Themisto_pacifica,Themisto_pacifica,,24,
Tigriopus,Tigriopus,,6,
Tisbe,Harpacticoida,,2,
Tomopteris,Tomopteris,,9,
Tomopteris_septentrionalis,Tomopteris_septentrionalis,,8,
Tortanus_discaudatus,Tortanus_discaudatus,,19,
Trematoda_Parasite,Parasites,,19,
Zaus,Harpacticoida,,1,